condition,brain_ID,starter_X,starter_Y
Ta1 Cre-ON,CBLK1870_1C,330.624,243.72522882163705
Ta1 Cre-ON,CBLK1870_1C,82.73,383.9505499400131
Ta1 Cre-ON,CBLK1870_1C,10.378,278.5801441667305
Ta1 Cre-ON,CBLK1870_1C,201.339,344.39506564689333
Ta1 Cre-ON,CBLK1870_1C,193.63,383.3430583114786
Ta1 Cre-ON,CBLK1870_1C,135.511,355.13956013722753
Ta1 Cre-ON,CBLK1870_1C,246.411,275.57660530331225
Ta1 Cre-ON,CBLK1870_1C,340.11199999999997,467.9926548177817
Ta1 Cre-ON,CBLK1870_1C,435.593,415.8392891284048
Ta1 Cre-ON,CBLK1870_1C,412.464,410.40132003715854
Ta1 Cre-ON,CBLK1870_1C,245.225,181.08767018123012
Ta1 Cre-ON,CBLK1870_1C,166.35,356.96144582291583
Ta1 Cre-ON,CBLK1870_1C,182.955,434.18329649150184
Ta1 Cre-ON,CBLK1870_1C,182.955,372.5062964915018
Ta1 Cre-ON,CBLK1870_1C,340.706,398.68492726721985
Ta1 Cre-ON,CBLK1870_1C,321.728,447.09876626819886
Ta1 Cre-ON,CBLK1870_1C,516.247,389.9181324700282
Ta1 Cre-ON,CBLK1870_1C,565.47,248.6481383396236
Ta1 Cre-ON,CBLK1870_1C,423.13900000000007,325.57236508377133
Ta1 Cre-ON,CBLK1870_1C,354.939,417.1558590060624
Ta1 Cre-ON,CBLK1870_1C,372.73,347.0466972823292
Ta1 Cre-ON,CBLK1870_1C,407.72,309.6482792242551
Ta1 Cre-ON,CBLK1870_1C,394.08,424.92119984735353
Ta1 Cre-ON,CBLK1870_1C,365.02,447.4985146988544
Ta1 Cre-ON,CBLK1870_1C,272.505,423.2473778518618
Ta1 Cre-ON,CBLK1870_1C,475.92,203.87365914680632
Ta1 Cre-ON,CBLK1870_1C,3.855,403.9306044163867
Ta1 Cre-ON,CBLK1870_1C,225.65400000000002,230.01085421934545
Ta1 Cre-ON,CBLK1870_1C,182.955,233.1402964915018
Ta1 Cre-ON,CBLK1870_1C,577.331,443.87923000314026
Ta1 Cre-ON,CBLK1870_1C,490.746,361.7427620541069
Ta1 Cre-ON,CBLK1870_1C,663.916,368.2548449722065
Ta1 Cre-ON,CBLK1870_1C,703.057,275.50830428235474
Ta1 Cre-ON,CBLK1870_1C,695.941,382.119814266894
Ta1 Cre-ON,CBLK1870_1C,993.255,209.68057973184824
Ta1 Cre-ON,CBLK1870_1C,883.344,212.73631007660643
Ta1 Cre-ON,CBLK1870_1C,737.059,419.0650785654621
Ta1 Cre-ON,CBLK1870_1C,809.806,389.504144794416
Ta1 Cre-ON,CBLK1870_1C,829.574,395.45691400158626
Ta1 Cre-ON,CBLK1870_1C,924.461,387.9824480127483
Ta1 Cre-ON,CBLK1870_1C,995.627,319.41504637557773
Ta1 Cre-ON,CBLK1870_1C,899.158,344.1300415895617
Ta1 Cre-ON,CBLK1870_1C,1105.538,199.3627786418789
